Model,ASIN,Available in BF/CM Sheet,Link,Model Name,9/12/2022,9/13/2022,9/14/2022,9/15/2022
LP-PWRFLWP-BLK,B097TSJ3KD,Available,www.amazon.com/dp/B097TSJ3KD,PowerFlow Pro Dumbbell,OOS,OOS,OOS,OOS
LP-PWRNRN-BLU,B09M36RXMV,Available,www.amazon.com/dp/B09M36RXMV,PawRunner Pet Treadmill,$35.00,$35.00,$35.00,$35.00
LP-TRB-WHT,B07P5HS14V,,www.amazon.com/dp/B07P5HS14V,Turbo 3D Vibration Plate White,$15.00,$15.00,$15.00,$15.00
PawRunner Pet Treadmill,B09M36RXMV,Available,www.amazon.com/dp/B09M36RXMV,PawRunner Pet Treadmill,$35.00,$35.00,$35.00,$35.00
LP-BIOHL-BLK,B09TWLZM9P,Available,www.amazon.com/dp/B09TWLZM9P,Bioheal Infrared Light Therapy Device,$30.00,$30.00,$30.00,$30.00
LP-DASHX-BLU,B09M8W5PLZ,Available,www.amazon.com/dp/B09M8W5PLZ,Dash X Bike Blue ,7 days,7 days,7 days,7 days
LP-INFTBXPL-BLK,B093TS1GQP,,www.amazon.com/dp/B093TS1GQP,InfinityBox Plus Workout Set,$35.00,$35.00,$35.00,$35.00
LP-PWRFLWPLS2-BLK,B08QTGV9BW,Available,www.amazon.com/dp/B08QTGV9BW,PowerFlow Plus 2 pcs - OLD,7 days,7 days + 10$,7 days + 10$,7 days + 10$
LP-SNCPLS-BLU,B0891SK2QH,Available,www.amazon.com/dp/B0891SK2QH,Sonic Plus Blue,$40.00,$40.00,$40.00,$40.00
B09VTBB3N1,B08DTJ2WQ4,,www.amazon.com/dp/B08DTJ2WQ4,Rumblex Max Black,$50.00,$50.00,$50.00,$50.00
LP-RMXMAX-BLU,B08D8F47XM,Available,www.amazon.com/dp/B08D8F47XM,Rumblex Max Blue ,$60.00,$60.00,$60.00,$60.00
LP-SNCX-BLU,B07V4G58H1,Available,www.amazon.com/dp/B07V4G58H1,Sonic X Personal Percussion Massage Gun Blue,$40.00,$40.00,$40.00,$40.00
P-RLXTXN-BLKN,B08RP7W7ZS,Available,www.amazon.com/dp/B08RP7W7ZS,RelaxaTilt X Foot Massager Blue ,OOS,OOS,OOS,OOS
LP-RMX-BLK,B07ZN7K2M7,,www.amazon.com/dp/B07ZN7K2M7,Rumblex 4D Vibration Plate Black,25.00$,25.00$,25.00$,25.00$
LP-RMX-BLU,B07QJ2K219,Available,www.amazon.com/dp/B07QJ2K219,Rumblex 4D Vibration Plate Blue,70.00$,70.00$,70.00$,70.00$
LP-RMXPLS-BLK,B085WBB48B,Available,www.amazon.com/dp/B085WBB48B,Rumblex Plus Vibration Plate Black,$50.00,$50.00,$50.00,$50.00
LP-RMXPLS-BLU,B084KZ4J6N,,www.amazon.com/dp/B084KZ4J6N,Rumblex Plus Vibration Plate Blue,$50.00,$50.00,$50.00,$50.00
LP-SNCUPLX-BLK,B08Q44SMZZ,Available,www.amazon.com/dp/B08Q44SMZZ,Sonic LX Massage Gun Black,7 days,NO Coupon,$50.00,$50.00
LP-SNCUPLX-BLU,B08Q3KF6N6,,www.amazon.com/dp/B08Q3KF6N6,Sonic LX Massage Gun Blue,7 days,7 days,7 days,7 days
LP-SNCLX-RED,B08Q2TY4R9,,www.amazon.com/dp/B08Q2TY4R9,Sonic LX Massage Gun Red,7 days,7 days,7 days,7 days
LP-VBRCP-BLU,B093VFWFKD,Available,www.amazon.com/dp/B093VFWFKD,VibraCare Plus Foot Massager - Blue,$50.00,$50.00,$50.00,$50.00
,B09PSKN6X3,Available,www.amazon.com/dp/B09PSKN6X3,Rejuvawrap Far Infrared Sauna Blanket,NO Coupon,NO Coupon,NO Coupon,NO Coupon
LP-RLXTX-BLK,B095XLK79S,Available,www.amazon.com/dp/B095XLK79S,RelaxaTilt X Foot Massager Black,10%,10%,10%,10%
LP-MRVX-BLU,B08RP8D9C5,Available,www.amazon.com/dp/B08RP8D9C5,Marvalax Foot Massager ,$40.00,$40.00,$30.00,$30.00
LP-RLXTP-BLU,B093K9WLSW,Available,www.amazon.com/dp/B093K9WLSW,RelaxaTilt Pro Foot Massager ,$30.00,$30.00,$30.00,$30.00
LP-DYNF-BLU,B08SMN6WRB,Available,www.amazon.com/dp/B08SMN6WRB,DynaFlex Massage Gun Blue ,$70.00,$70.00,$70.00,$70.00
LP-FLXSTRDN-BLK,B08XJYLWDK,Available,www.amazon.com/dp/B08XJYLWDK,FlexStride Under Desk Elliptical Black - NEW ASIN,$10.00,$10.00,$10.00,$10.00
LP-RMXPRO-BLK,B0873C7TY1,,www.amazon.com/dp/B0873C7TY1,Rumblex Pro Vibration Plate Black,150.00$,150.00$,$150.00,$150.00
LP-RMXPRO-BLU,B084L1R7D2,Available,www.amazon.com/dp/B084L1R7D2,Rumblex Pro Vibration Plate Blue,150.00$,150.00$,$150.00,$150.00
LP-WVR-BLK,B07P5GV3VX,,www.amazon.com/dp/B07P5GV3VX,Waver Vibration Plate Black,7 days,7 days,7 days,7 days
